Title;Source;Year
(requirement) evolution requirements for adaptive systems;Ieee;2012
17 - inspection, monitoring, auditing, and tracking;Sciencedirect;2011
2010 1st international workshop on requirements@run.time, re@runtime 2010;Scopus;2010
2013 5th international workshop on modeling in software engineering, mise 2013 - proceedings;Scopus;2013
2013 ieee conference on open systems, icos 2013;Scopus;2013
2014 ieee 1st international workshop on evolving security and privacy requirements engineering, espre 2014 - proceedings;Scopus;2014
20th aiaa international communication satellite systems conference and exhibit, icssc 2002;Scopus;2002
2nd international workshop on living with inconsistency;Scopus;2001
33rd international conference on conceptual modeling, er 2014;Scopus;2014
3rd international workshop on advances and applications of problem frames;Acmdl;2008
5sl: a language for declarative specification and generation of digital libraries;Acmdl;2002
6th workshop on software engineering for resilient systems, serene 2014;Scopus;2014
7th international conference on evaluation of novel approaches to software engineering, enase 2012;Scopus;2013
7th international conference on research challenges in information science, rcis 2013 - conference proceedings;Scopus;2013
9th international conference on dependability and complex systems, depcos-relcomex 2014;Scopus;2014
A bdi agent programming language with failure handling, declarative goals, and planning;Web of science, Scopus;2010, 2011
A case study on benefits and side-effects of agile practices in large-scale requirements engineering;Acmdl;2011
A classification-based approach to policy refinement;Scopus;2007
A compact data acquisition and control terminal for particle accelerators;Ieee;1969
A comparison of nearest neighbor search algorithms for generic object recognition;Scopus;2006
A conceptual view on trajectories;Sciencedirect;2008
A configurable event correlation architecture for adaptive j2ee applications;Scopus;2007
A context analysis method for constructing reliable embedded systems;Acmdl;2008
A context-aware system based on service-oriented architecture;Engineering village;2006
A corba-based dynamic reconfigurable middleware;Scopus;2005
A data warehouse architecture for clinical data warehousing;Acmdl;2007
A debugging strategy based on the requirements of testing;Scopus;2004
A deidealisation semantics for kaos;Acmdl;2010
A design framework for generating bdi-agents from goal models;Acmdl;2007
A factory to design and buid tailorable and verifiable middleware;Scopus;2007
A few thoughts on engineering social machines: extended abstract;Acmdl;2013
A five-step method for value-based planning and monitoring of systems engineering projects;Ieee;2006
A foundation for requirements analysis of privacy preserving software;Scopus;2012
A framework for requirements engineering process development (frere);Scopus;2008
A framework for service-based business process collaboration;Scopus;2012
A framework for supporting dynamic systems co-evolution;Scopus;2007
A framework for the operationalization of monitoring in business intelligence requirements engineering;Scopus;2014
A generic architecture for surveillance systems;Scopus;2010
A goal model elaboration for localizing changes in software evolution;Ieee;2013
A goal-based framework for contextual requirements modeling and analysis;Web of science;2010
A goal-based modeling approach to develop requirements of an adaptive system with environmental uncertainty;Web of science;2009
A goal-oriented requirements engineering approach for the ambient assisted living domain;Acmdl;2014
A green model for sustainable software engineering;Scopus;2013
A high-rate, low-power, asic speech decoder using finite state transducers;Scopus;2012
A human-machine dimensional inference ontology that weaves human intentions and requirements of context awareness systems;Scopus;2008
A job pause service under lam/mpi+blcr for transparent fault tolerance;Scopus;2007
A knowledge level software engineering methodology for agent oriented programming;Acmdl;2001
A knowledge-based software-development environment supporting cooperative work;Web of science;1992
A medical service requirements model for health system design;Ieee;1969
A memory for goals model of sequence errors;Sciencedirect;2011
A metamodel for aspect-oriented analysis approach;Scopus;2010
A method for modeling of kpis enabling validation of their properties;Acmdl;2013
A method of formal requirement analysis for npp i&c systems based on uml modeling with software cost reduction;Sciencedirect;2003
A method to acquire compliance monitors from regulations;Ieee;2010
A method to develop feasible requirements for java mobile code application;Web of science;2004
A middleware and policy-based adaptation framework to simplify software evolution: an implementation on unit trust enterprise system;Scopus;2014
A mode-based pattern for feature requirements, and a generic feature interface;Ieee;2013
A multi-level software architecture metamodel to support the capture and evaluation of stakeholder concerns;Web of science;2001
A novel approach to design a scalable air quality monitoring system;Scopus;2012
A novel innominate vein-to-common atrium fenestration at fontan completion;Sciencedirect;2010
A pattern for structuring the behavioural requirements of features of an embedded system;Ieee;2013
A pes for use in highly safety-critical control;Scopus;2005
A policy language for distributed usage control;Scopus;2007
